doc,confidence,confidence_score,A_sent_id,A_speaker,A_text,B_sent_id,B_speaker,B_text,B_nonpunct_token_count,A_root_token_id,A_root_form,A_root_upos,B_root_form,B_root_upos,a_orphan_last2,a_truncation,a_end_connector,b_backchannel_like,b_question_like,a_b_lexical_overlap,overlap_lemmas,why_candidate,proposed_attach_A_root,keep?,proposed_coconstruct_deprel,proposed_coconstruct_misc
Gos174,HIGH,97,Gos174.s24,Bf-udel-05579,"[name:personal] , ime , eee , kaj , ose- , osebe , zadolžene ali pa odgovorne za , ne , odgovorne za",Gos174.s25,Cf-udel-05580,"eee , osebe , ja , tako .",4,3,ime,NOUN,osebe,NOUN,True,True,True,False,False,True,oseba,A orphan near end; A truncation marker; A connector-like ending; A/B lexical overlap,Gos174.s24::3,,,
Gos201,HIGH,73,Gos201.s20,Cf-vodj-05590,"eee , a čakaj , a to za one , ki , ki , ki , ki bi mogle , kot si rekla , da b- .",Gos201.s21,Af-klic-06567,"ja , nnn , ja .",3,7,to,DET,ja,PART,True,True,False,False,False,False,,A orphan near end; A truncation marker,Gos201.s20::7,,,
Gos280,HIGH,73,Gos280.s54,Af-soro-09512,"ja , j- .",Gos280.s55,Mf-soro-09513,"mislim , če b-",3,1,ja,PART,mislim,VERB,True,True,False,False,False,False,,A orphan near end; A truncation marker,Gos280.s54::1,,,
Gos156,HIGH,68,Gos156.s23,Rm-mode-08503,"eee , torej on- , o- .",Gos156.s24,Jm-gost-08504,"sta si to izmislila , to ime .",6,3,torej,CCONJ,izmislila,VERB,True,True,False,False,False,False,,A orphan near end; A truncation marker,Gos156.s23::3,,,
Gos181,HIGH,68,Gos181.s474,Af-udel-02552,"vam pokažem , kaj pa boste povedale , saj do sedemindvajsetega bo še čas , da se še k-",Gos181.s475,Cf-udel-02554,"ja , tebi prepustimo , ti zaupamo .",5,2,pokažem,VERB,prepustimo,VERB,True,True,False,False,False,False,,A orphan near end; A truncation marker,Gos181.s474::2,,,
Gos225,HIGH,68,Gos225.s366,Bm-prij-02346,"no , ni že vs- .",Gos225.s367,Dm-prij-02348,"iščem , pa ne te najdem .",5,3,ni,VERB,iščem,VERB,True,True,False,False,False,False,,A orphan near end; A truncation marker,Gos225.s366::3,,,
Gos255,HIGH,68,Gos255.s253,Tf-soro-10524,"to , to je in še danes jo vidim , to brodarico , ne , in te me ona čez odpeljala in jaz lepo pa skoz šumo , dete malo , pa p- , skozi .",Gos255.s254,Jm-soro-05614,"ampak to trebalo plačati , brod .",5,4,je,VERB,trebalo,VERB,True,True,False,False,False,False,,A orphan near end; A truncation marker,Gos255.s253::4,,,
Gos048,HIGH,62,Gos048.s114,Bf-novi-04534,odprta pa je do ?,Gos048.s115,Cf-gost-07017,odprta pa je do konca julija .,6,1,odprta,ADJ,odprta,ADJ,True,False,True,False,False,True,odprt,A orphan near end; A connector-like ending; A/B lexical overlap,Gos048.s114::1,,,
Gos253,HIGH,62,Gos253.s92,Am-prij-02280,"ja , dober jabolčnik je iz",Gos253.s94,Cm-prij-02282,"samo ni tukla , ni jabolčnik .",5,5,je,VERB,tukla,NOUN,True,False,True,False,False,True,jabolčnik,A orphan near end; A connector-like ending; A/B lexical overlap,Gos253.s92::5,,,
Gos155,MEDIUM,59,Gos155.s87,Pm-mode-10504,"[name:personal] pravi , ka si je , ka si je zapomnil in ka bo Rdeča vrtnica od Viktorije , pozdrave še nekomu .",Gos155.s88,Dm-mode-10505,malo .,1,2,pravi,VERB,malo,DET,True,False,True,False,False,False,,A orphan near end; A connector-like ending,Gos155.s87::2,,,
Gos014,MEDIUM,59,Gos014.s634,Af-prof-07180,"v redu , kam pa ?",Gos014.s635,Hm-ucen-07187,v zrak .,2,4,kam,ADV,zrak,NOUN,True,False,True,False,False,False,,A orphan near end; A connector-like ending,Gos014.s634::4,,,
Gos182,MEDIUM,59,Gos182.s204,Bf-prod-02264,"in sem rekla , o , živjo , ti , kdaj pa prideš pa to , a veš , pa vse ti .",Gos182.s205,Af-stra-02238,ojej .,1,3,rekla,VERB,ojej,INTJ,True,False,True,False,False,False,,A orphan near end; A connector-like ending,Gos182.s204::3,,,
Gos190,MEDIUM,59,Gos190.s79,Bf-prod-02277,katere to ?,Gos190.s80,Cf-stra-02265,"eee , amarilise .",2,1,katere,DET,amarilise,NOUN,True,False,True,False,False,False,,A orphan near end; A connector-like ending,Gos190.s79::1,,,
Gos229,MEDIUM,59,Gos229.s359,Ef-ssta-06566,a to,Gos229.s360,Lf-otro-06567,a veš .,2,2,to,DET,veš,VERB,True,False,True,False,False,False,,A orphan near end; A connector-like ending,Gos229.s359::2,,,
Gos254,MEDIUM,59,Gos254.s691,Dm-prij-06009,"ustaške skupine , nekaj so hoteli z",Gos254.s692,If-prij-06008,je preživela .,2,2,skupine,NOUN,preživela,VERB,True,False,True,False,False,False,,A orphan near end; A connector-like ending,Gos254.s691::2,,,
Gos120,MEDIUM,57,Gos120.s3,Mm-gost-01605,"ja , čakajte , to nič na p- , referendum ne pomeni nič .",Gos120.s4,Of-novi-01604,ampak rezultat referenduma vendarle lahko predvidimo .,6,3,čakajte,VERB,predvidimo,VERB,False,True,True,False,False,True,referendum,A truncation marker; A connector-like ending; A/B lexical overlap,Gos120.s3::3,,,
Gos159,MEDIUM,57,Gos159.s591,Gm-novi-02048,"eee , ali ni , ne vem v čemu , ali [name:personal] , [name:personal] , eee , dajmo , glej , eee , ali ni , a ni to žaljivo do lepote ene , ene , ene , ene čke , recimo , eee , glej , kot , a je to čka kot oseba ženskega spola ali je čka kot spolni organ , a veš , to je , mislim , ne u- , u- tudi .",Gos159.s592,Sm-novi-02049,"ja , nočemo vedeti , čka od človeka je tudi",8,30,žaljivo,ADJ,nočemo,VERB,False,True,True,False,False,True,biti|vedeti|čka,A truncation marker; A connector-like ending; A/B lexical overlap,Gos159.s591::30,,,
Gos222,MEDIUM,55,Gos222.s283,Jf-prij-01612,smo šli hitro domov in mačka zadaj za nami .,Gos222.s284,Mf-prij-01630,zadaj za vami .,3,2,šli,VERB,vami,PRON,True,False,True,False,False,False,,A orphan near end; A connector-like ending,Gos222.s283::2,,,
Gos233,MEDIUM,55,Gos233.s400,Tm-otro-03016,"ja , čakaj malo , glejta , a veš , koliko ti v",Gos233.s401,Bm-star-03014,"ne , ne [name:organisation] .",3,9,veš,VERB,[name:organisation],PROPN,True,False,True,False,False,False,,A orphan near end; A connector-like ending,Gos233.s400::9,,,
Gos254,MEDIUM,55,Gos254.s594,Dm-prij-06009,ne še .,Gos254.s595,If-prij-06008,to še mali bil .,4,1,ne,PART,mali,ADJ,True,False,True,False,False,False,,A orphan near end; A connector-like ending,Gos254.s594::1,,,
Gos157,MEDIUM,54,Gos157.s141,Am-novi-02048,"kaj sem bil v- , vnet , jaz sem bil vnet , ja .",Gos157.s142,Cf-gost-00510,"vnet , ja .",2,1,kaj,ADV,vnet,ADJ,False,True,False,False,False,True,vnet,A truncation marker; A/B lexical overlap,Gos157.s141::1,,,
Gos244,MEDIUM,54,Gos244.s418,Sm-prij-09517,"pa če znam od b- , od petih pogojev pogojenih , mislim , tistih pri jeziku , ki naj bi jih poznal štiri , mislim tri je dosti po moje .",Gos244.s419,Mm-prij-09518,saj,1,3,znam,VERB,saj,CCONJ,False,True,True,False,False,False,,A truncation marker; A connector-like ending,Gos244.s418::3,,,
Gos262,MEDIUM,54,Gos262.s117,Af-prij-00507,"tam , kamor je , eee , vhod v mar- , v market .",Gos262.s119,Bf-prij-00508,je ena .,2,1,tam,ADV,je,VERB,False,True,False,False,False,True,biti,A truncation marker; A/B lexical overlap,Gos262.s117::1,,,
Gos270,MEDIUM,54,Gos270.s186,Bm-prij-02169,"cel dan , kur- , ja , saj pri meni isto , pizda , veš , pa tule , kurba , ko nimam nič za delati , sem cel dan online , kurba .",Gos270.s187,Am-prij-02168,"veš , da .",2,2,dan,NOUN,veš,VERB,False,True,False,False,False,True,vedeti,A truncation marker; A/B lexical overlap,Gos270.s186::2,,,
Gos073,MEDIUM,50,Gos073.s379,Lm-gost-02115,naj se,Gos073.s380,Hm-gost-03510,"če bo potrebno , ne glede za ceno .",7,1,naj,PART,potrebno,ADV,True,False,True,False,False,False,,A orphan near end; A connector-like ending,Gos073.s379::1,,,
Gos206,MEDIUM,50,Gos206.s135,Sm-klic-02321,"uuu , nisem zdajle za raču- , Nep , Nep , ja .",Gos206.s136,Vm-prod-07539,samo Nep ne .,3,3,nisem,VERB,Nep,NOUN,False,True,False,False,False,True,nep,A truncation marker; A/B lexical overlap,Gos206.s135::3,,,
Gos009,MEDIUM,50,Gos009.s225,Tf-stud-06580,"nisem ga iskala , ampak sem srečala v tečaj slovenščine na začetku , eem , sem srečala moj z- zdaj- , eee , moj",Gos009.s227,Af-prof-06578,"mojo cimro , mojega cimra .",4,3,iskala,VERB,cimra,NOUN,False,True,True,False,False,False,,A truncation marker; A connector-like ending,Gos009.s225::3,,,
Gos013,MEDIUM,50,Gos013.s163,Hf-ucen-05660,kaj pol .,Gos013.s165,Am-prof-05653,"dobro , kaj čemo kar skupaj ali kaj .",7,1,kaj,PRON,čemo,VERB,True,False,True,False,False,False,,A orphan near end; A connector-like ending,Gos013.s163::1,,,
Gos021,MEDIUM,50,Gos021.s153,Bm-ucen-01052,"ja , iz modre v rdečo .",Gos021.s154,Sf-prof-01049,"preskok barve , torej moder , rdeč .",5,4,modre,ADJ,preskok,NOUN,True,False,False,False,False,True,moder|rdeč,A orphan near end; A/B lexical overlap,Gos021.s153::4,,,
Gos063,MEDIUM,50,Gos063.s545,Fm-ucen-07162,od dvajset herzov do dvajset kiloherzov .,Gos063.s546,Am-prof-07158,"dvajset herzov do dvajset kiloherzov , ne .",6,3,herzov,NOUN,herzov,NOUN,True,False,False,False,False,True,dvajset|herz|kiloherz,A orphan near end; A/B lexical overlap,Gos063.s545::3,,,
Gos135,MEDIUM,50,Gos135.s646,Am-mode-05620,"do- , do- , do- , do- , do- , do- , dobro jutro .",Gos135.s647,Nm-posl-05638,"dobro jutro , enako .",3,14,jutro,NOUN,jutro,NOUN,False,True,False,False,False,True,dober|jutro,A truncation marker; A/B lexical overlap,Gos135.s646::14,,,
Gos158,MEDIUM,50,Gos158.s107,Em-mode-02048,"eee , pre- , eee , seveda moramo najprej narediti našo protokolarno obveznost , da , eee , [name:personal] fotografiramo za najino , eee , eee , lu- , kaj se že temu reče , luknja slavnih , ne , v redu .",Gos158.s108,Cm-mode-02049,"dajmo , luknja slavnih .",3,8,moramo,VERB,dajmo,VERB,False,True,False,False,False,True,luknja|slaven,A truncation marker; A/B lexical overlap,Gos158.s107::8,,,
Gos158,MEDIUM,50,Gos158.s119,Af-gost-09027,kaj pa to ?,Gos158.s120,Cm-mode-02049,tvoj obražček bo šel tule skozi .,6,1,kaj,PRON,šel,VERB,True,False,True,False,False,False,,A orphan near end; A connector-like ending,Gos158.s119::1,,,
Gos178,MEDIUM,50,Gos178.s189,Am-udel-02231,"mislim , razmišljam o tem , da bi pravzaprav treba imeti nekoga , mislim , a je t- , kdo od teh študentov tak , verjetno so kakšni zgovorni , pa to .",Gos178.s190,Cf-udel-02233,"ja , ne vem .",3,3,razmišljam,VERB,vem,VERB,False,True,True,False,False,False,,A truncation marker; A connector-like ending,Gos178.s189::3,,,
Gos190,MEDIUM,50,Gos190.s89,Af-stra-02276,"pa ne , malo raste listje tako .",Gos190.s90,Bf-prod-02277,"ja , saj potem bo , če bo listje raslo .",8,2,ne,PART,bo,VERB,True,False,False,False,False,True,listje|rasti,A orphan near end; A/B lexical overlap,Gos190.s89::2,,,
Gos226,MEDIUM,50,Gos226.s94,Bf-star-02241,"se z- , saj zdaj že kartico dobiš , nimaš več onih vozniških , klasika , ko imamo mi .",Gos226.s95,Cf-otro-02242,"ne bi , ne .",3,8,dobiš,VERB,bi,VERB,False,True,True,False,False,False,,A truncation marker; A connector-like ending,Gos226.s94::8,,,
Gos229,MEDIUM,50,Gos229.s365,Lf-otro-06567,"a veš , prav grozno je bilo , ker v Ljubljani se to ne zgodi , ker je folk navajen , a veš , tule pa tako .",Gos229.s366,Ef-ssta-06566,"ja , v Ljubljani si ga že videl .",7,5,grozno,ADJ,videl,VERB,True,False,False,False,False,True,ljubljana,A orphan near end; A/B lexical overlap,Gos229.s365::5,,,
Gos244,MEDIUM,50,Gos244.s407,Mm-prij-09518,iz česa pa ?,Gos244.s408,Sm-prij-09517,saj to je čez dve ure .,6,2,česa,PRON,je,VERB,True,False,True,False,False,False,,A orphan near end; A connector-like ending,Gos244.s407::2,,,
Gos251,MEDIUM,50,Gos251.s304,Mm-prij-07531,"ja , kaj pa ostalo ?",Gos251.s305,Om-prij-07528,ostalo pa je šlo v firme pa v,8,3,kaj,PRON,šlo,VERB,True,False,False,False,False,True,ostal,A orphan near end; A/B lexical overlap,Gos251.s304::3,,,
Gos254,MEDIUM,50,Gos254.s609,Mm-prij-06007,"ja , te s- , potem ti je brez problema p- , za podpisati , ka ne boš imel v bližnji prihodnosti otrok , ne .",Gos254.s610,If-prij-06008,pa si na,3,8,je,VERB,si,VERB,False,True,False,False,False,True,biti,A truncation marker; A/B lexical overlap,Gos254.s609::8,,,
Gos254,MEDIUM,50,Gos254.s615,Dm-prij-06009,"podpišeš , potem pa",Gos254.s616,Mm-prij-06007,"potem pa se zgodi , ne .",5,1,podpišeš,VERB,zgodi,VERB,True,False,True,False,False,False,,A orphan near end; A connector-like ending,Gos254.s615::1,,,
Gos254,MEDIUM,50,Gos254.s647,Dm-prij-06009,"pa lase si tako z blatom skupaj z- , z- , z- , kaj imajo to , kodre ali",Gos254.s648,If-prij-06008,"aja , one drede .",3,3,si,VERB,drede,NOUN,False,True,True,False,False,False,,A truncation marker; A connector-like ending,Gos254.s647::3,,,
Gos277,MEDIUM,50,Gos277.s66,Tm-prij-06583,pa kaj še .,Gos277.s67,Pm-prij-06582,"mene je strah , ker se snema .",6,2,kaj,PRON,strah,NOUN,True,False,True,False,False,False,,A orphan near end; A connector-like ending,Gos277.s66::2,,,
Gos160,MEDIUM,47,Gos160.s163,Um-nast-00021,to pa kar lahko z roko .,Gos160.s164,Bm-nast-00022,in to .,2,1,to,DET,to,DET,True,False,False,False,False,False,,A orphan near end,Gos160.s163::1,,,
Gos013,MEDIUM,47,Gos013.s146,Ff-ucen-05658,kaj pol s tisto vodo na koncu ?,Gos013.s147,Cm-ucen-05655,ne vem .,2,1,kaj,PRON,vem,VERB,True,False,False,False,False,False,,A orphan near end,Gos013.s146::1,,,
Gos159,MEDIUM,47,Gos159.s649,Om-gost-06560,"čakaj , kaj pa takole , kaj pa tako ?",Gos159.s651,Sm-novi-02049,"ojojojo , uh .",2,1,čakaj,VERB,ojojojo,INTJ,True,False,False,False,False,False,,A orphan near end,Gos159.s649::1,,,
Gos256,MEDIUM,47,Gos256.s82,Af-sode-07098,"a pol jih kar bilo , pol se to kar",Gos256.s83,Bf-sode-07099,"da , da .",2,5,bilo,VERB,da,PART,True,False,False,False,False,False,,A orphan near end,Gos256.s82::5,,,
Gos282,MEDIUM,47,Gos282.s254,If-prij-01073,"ja , kaj je rekel , mmm , kao ona , pri onih je bil doma , ne , tisto , ko sta mož pa žena , kako že .",Gos282.s255,Uf-prij-01074,"ja , Herman .",2,5,rekel,VERB,Herman,PROPN,True,False,False,False,False,False,,A orphan near end,Gos282.s254::5,,,
Gos011,MEDIUM,45,Gos011.s217,Mf-prof-09033,"da smo mi že v drugem obdobju , ko si pa on že zgradi prvo bivališče iz vej , slame in tako naprej , se pravi , kaj je bil na- namen uporabe zatočišč .",Gos011.s218,Df-ucen-09037,"ja , da je začasno tam , ne .",6,2,smo,VERB,je,VERB,False,True,False,False,False,True,biti,A truncation marker; A/B lexical overlap,Gos011.s217::2,,,
Gos029,MEDIUM,45,Gos029.s117,Rm-novi-05592,"sla- , slišimo tudi vaše .",Gos029.s118,Um-posl-06514,"jah , jaz mislim , da so , eee , vinjete ena",8,3,slišimo,VERB,mislim,VERB,False,True,True,False,False,False,,A truncation marker; A connector-like ending,Gos029.s117::3,,,
Gos159,MEDIUM,45,Gos159.s581,Sm-novi-02049,"po- , povsod so fe- , fernki .",Gos159.s582,Om-gost-06560,"to je isto klekljanje , to je ist- .",7,4,so,VERB,klekljanje,NOUN,False,True,False,False,False,True,biti,A truncation marker; A/B lexical overlap,Gos159.s581::4,,,
Gos181,MEDIUM,45,Gos181.s411,Cf-udel-02554,"kdo pa je to , d- , to ste vi dobili .",Gos181.s412,Af-udel-02552,"to sem jaz dobila v m- , mapico , ja .",8,3,je,VERB,dobila,VERB,False,True,False,False,False,True,dobiti,A truncation marker; A/B lexical overlap,Gos181.s411::3,,,
Gos219,MEDIUM,45,Gos219.s76,Cm-star-02106,"veš , koliko so ga , p- , je bil star , koliko , štirideset , ja .",Gos219.s77,Bm-otro-02105,"je ene štir- , ene š- , štirideset .",6,1,veš,VERB,štirideset,NUM,False,True,False,False,False,True,štirideset,A truncation marker; A/B lexical overlap,Gos219.s76::1,,,
Gos224,MEDIUM,45,Gos224.s132,Af-prij-07190,"mislim , tako , kako ima vseh , d- , vsega dosti .",Gos224.s134,Bf-prij-07191,"tisti so šele varčni , da boste vedeli .",7,6,ima,VERB,varčni,ADJ,False,True,True,False,False,False,,A truncation marker; A connector-like ending,Gos224.s132::6,,,
Gos229,MEDIUM,45,Gos229.s389,Lf-otro-06567,"pa ful , jaz sem to ugotov- , na , tudi na Tajskem sem ugotovila .",Gos229.s390,Ef-ssta-06566,"tudi približno ne moreš ugotoviti , koliko je star .",8,5,sem,AUX,moreš,VERB,False,True,False,False,False,True,ugotoviti,A truncation marker; A/B lexical overlap,Gos229.s389::5,,,
Gos246,MEDIUM,45,Gos246.s369,Mm-star-07523,"ta kmet ima tam doli , ko je taka v- , velika njiva , zraven pod mano je ena velika njiva zorana , eee , ima to njivo , pa , eee , ja , saj .",Gos246.s370,Am-soro-07522,"jaz sem že pozabil , kako tam izgleda .",7,3,ima,VERB,pozabil,VERB,False,True,True,False,False,False,,A truncation marker; A connector-like ending,Gos246.s369::3,,,
Gos250,MEDIUM,45,Gos250.s471,Bf-ssta-07520,"eee , ne , n- , eee , čakaj , s- , s- , saj se bom pa z mamo tudi , veš .",Gos250.s473,Pf-vrst-07519,"ja , ne vem , z njo se boš težko .",8,9,čakaj,VERB,boš,VERB,False,True,False,False,False,True,biti|vedeti,A truncation marker; A/B lexical overlap,Gos250.s471::9,,,
Gos283,MEDIUM,45,Gos283.s252,Mm-prij-06005,"samo najrajši grem nekje župa , glavna j- , glavna , glavna jed , sladica , salata še na vmes pa tako vzamemo .",Gos283.s253,Nm-prij-06006,"župa domača pa , eh , to je najboljše , ne .",8,3,grem,VERB,župa,NOUN,False,True,False,False,False,True,župa,A truncation marker; A/B lexical overlap,Gos283.s252::3,,,
Gos286,MEDIUM,45,Gos286.s371,Am-prij-07102,"pa ne vem , no , kaj je to z- , kaj je to z [name:personal] , sploh njega nisem videl že , tako , kar pol leta .",Gos286.s373,Bm-prij-07103,"ja , veš kaj , on je absolvent , ne .",7,13,je,VERB,absolvent,NOUN,False,True,False,False,False,True,vedeti,A truncation marker; A/B lexical overlap,Gos286.s371::13,,,
Gos074,MEDIUM,43,Gos074.s284,Qm-gost-02550,"no , o tem smo imeli dve oddaji , pa se ne",Gos074.s285,Pm-gost-02549,"tako , kot so",3,6,imeli,VERB,tako,ADV,True,False,False,False,False,False,,A orphan near end,Gos074.s284::6,,,
Gos138,MEDIUM,43,Gos138.s70,Sf-mode-04529,"u , Istanbul , seveda , v bližino boste potovali , ali pač , [name:personal] , žogica na vaši strani .",Gos138.s71,Mm-posl-04531,"eem , Išm , Išim .",3,3,Istanbul,PROPN,Išim,PROPN,True,False,False,False,False,False,,A orphan near end,Gos138.s70::3,,,
Gos217,MEDIUM,43,Gos217.s93,Ef-soro-10003,s traktorjem osemdeset po humperskem mostu .,Gos217.s94,Bf-ssta-10002,je dovolj pol .,3,3,osemdeset,NUM,je,VERB,True,False,False,False,False,False,,A orphan near end,Gos217.s93::3,,,
Gos051,MEDIUM,42,Gos051.s261,Af-prof-07124,"ja , govori o neki ženski , a je ta žens- , ampak kako govori o neki ženski , ne da jo zdaj , ne vem , opisuje , predstavlja , označuje , ampak kako govori o njej , da je z njo nekoč doživel neko prijetno",Gos051.s262,Pn-vsiucenci-10000,doživetje .,1,3,govori,VERB,doživetje,NOUN,False,True,False,False,False,False,,A truncation marker,Gos051.s261::3,,,
Gos073,MEDIUM,42,Gos073.s378,Hm-gost-03510,"on je , on je dobro izpostavil , da , da cena tu n- , eee , nima nobene zveze , da je potrebno , da pride spet ponovno nazaj v roke države .",Gos073.s379,Lm-gost-02115,naj se,2,7,izpostavil,VERB,naj,PART,False,True,False,False,False,False,,A truncation marker,Gos073.s378::7,,,
Gos150,MEDIUM,42,Gos150.s119,Gm-novi-01008,"kakor , ja , eee t- , tako veš , zjutraj ob štirih .",Gos150.s120,Jm-inte-01009,do petindvajsetega .,2,1,kakor,SCONJ,petindvajsetega,ADJ,False,True,False,False,False,False,,A truncation marker,Gos150.s119::1,,,
Artur-N-G5083-P600080,MEDIUM,42,Artur-N-G5083-P600080.s57-s68_reseg.1362,Artur-N-G5083,"bom rekel zdaj že , če ti dam en primer , na primer , na sami glasbeni sceni kot taki , ne , bom rekel , tej alternativni glasbeni sceni v Mariboru , eee , ker smo lokacijsko tako mali , eee , se med samimi različnimi zametki subkultur , zato ker praktično ne moremo , e , govoriti , da neke dotične subkulture v Mariboru vseeno imamo , eee , se tisti , ki bi se mogli v sami osnovi med seboj , e , ne razumeti , ne , ne bom rekel sovražiti , eee , so dejansko med za seboj prijatelji , eee , z- ravno zaradi tega , ker je Pekarna kot taka prostor , e , nekega ventila , nekega drugačnega , kritičnega razmišljanja .",Artur-N-G6083-P608301.s30_reseg.1620,Artur-N-G6083,tako ja .,2,8,dam,VERB,tako,ADV,False,True,False,False,False,False,,A truncation marker,Artur-N-G5083-P600080.s57-s68_reseg.1362::8,,,
Gos163,MEDIUM,42,Gos163.s221,Fm-nast-00514,"dobimo , boste dobil kom- , konja .",Gos163.s222,Gf-nast-00515,juhuhu !,1,4,dobil,VERB,juhuhu,INTJ,False,True,False,False,False,False,,A truncation marker,Gos163.s221::4,,,
Gos005,MEDIUM,42,Gos005.s5,Am-mode-05666,"predavala gos- bo gospa doktor [name:personal] [name:surname] , ki je , kolikor jaz vem , edina v Sloveniji , ki se poklicno bavi s tem vprašanjem pri Umarju , Urad , eee , Republike Slovenije za makroekonomiko , če prav , če sem prav razložil .",Gos005.s6,Bf-pred-05667,makroekonomske analize .,2,1,predavala,VERB,analize,NOUN,False,True,False,False,False,False,,A truncation marker,Gos005.s5::1,,,
